stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,45,45,58.525373,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0010285469899543507
1,46,46,58.974335,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0010131187851050354
1,47,47,58.98269,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0009979220033284597
1,48,48,58.990237,related_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0009829531732785328
1,49,49,59.979828,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.0009682088756793548
1,50,50,61.177791,random_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0009536857425441644
1,51,51,67.333222,low_utilization,3,1,0,0,15361,15361,120836,120836,95,95,0.0009393804564060019
1,52,52,67.342185,land_reassignment,2,1,0,0,15361,15361,120836,120836,95,95,0.0009252897495599119
1,53,53,67.394856,worst_time_per_person,2,1,0,0,15361,15361,120836,120836,95,95,0.0009114104033165132
1,54,54,68.209666,worst_time_per_person,2,1,0,0,15361,15361,120836,120836,95,95,0.0008977392472667655
1,55,55,68.58821,land_reassignment,3,1,0,0,15361,15361,120836,120836,95,95,0.000884273158557764
1,56,56,69.54222,worst_time_per_person,3,1,0,0,15361,15361,120836,120836,95,95,0.0008710090611793975
1,57,57,70.278195,related_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0008579439252617066
1,58,58,70.302153,low_utilization,2,1,0,0,15361,15361,120836,120836,95,95,0.0008450747663827809
1,59,59,71.762489,related_routes,3,1,0,0,15361,15361,120836,120836,95,95,0.0008323986448870392
1,60,60,71.801529,related_routes,2,1,0,0,15361,15361,120836,120836,95,95,0.0008199126652137336
