stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,69,69,297.549787,random_routes,4,75,664,320,4,324,324,162,1,0,0,14741,14741,121218,121218,89,89,0.0007156384551046457
1,70,70,297.750982,related_routes,5,92,794,320,5,324,324,0,1,0,0,14741,14741,121218,121218,89,89,0.000704903878278076
1,71,71,303.852087,worst_time_per_person,5,85,1071,494,5,570,570,216,1,0,0,14741,14741,121218,121218,89,89,0.0006943303201039049
2,72,1,310.865093,low_utilization,5,85,977,647,5,723,723,723,1,0,0,14741,14741,121218,121218,89,89,0.002
2,73,2,316.840503,random_routes,5,92,801,441,5,441,441,432,1,0,0,14741,14741,121218,121218,89,89,0.00197
2,74,3,317.957371,worst_time_per_person,5,86,1147,373,5,441,441,405,1,0,0,14741,14741,121218,121218,89,89,0.00194045
2,75,4,318.169433,land_reassignment,5,95,800,319,5,324,324,243,1,0,0,14741,14741,121218,121218,89,89,0.0019113432500000001
2,76,5,318.520626,land_reassignment,5,92,788,319,5,324,324,99,1,0,0,14741,14741,121218,121218,89,89,0.00188267310125
2,77,6,319.812817,low_utilization,6,105,975,562,6,576,576,495,1,0,0,14741,14741,121218,121218,89,89,0.00185443300473125
2,78,7,322.704127,worst_time_per_person,6,107,1396,792,6,894,894,558,1,0,0,14741,14741,121218,121218,89,89,0.0018266165096602813
2,79,8,324.493755,worst_time_per_person,5,82,1077,510,5,570,570,315,1,0,0,14741,14741,121218,121218,89,89,0.0017992172620153772
2,80,9,327.173709,low_utilization,6,107,1091,566,6,570,570,270,1,0,0,14741,14741,121218,121218,89,89,0.0017722290030851465
2,81,10,330.784534,worst_time_per_person,6,102,1341,536,6,576,576,189,1,0,0,14741,14741,121218,121218,89,89,0.0017456455680388693
2,82,11,340.803909,low_utilization,6,105,1068,1051,6,1083,1083,531,1,0,0,14741,14741,121218,121218,89,89,0.0017194608845182862
2,83,12,346.689577,worst_time_per_person,6,102,1279,846,6,900,900,198,1,0,0,14741,14741,121218,121218,89,89,0.0016936689712505118
2,84,13,353.258284,low_utilization,6,105,1084,872,6,900,900,486,1,1,1,14741,14741,120903,120903,89,89,0.0016682639366817542
2,85,14,353.487067,related_routes,5,95,800,319,5,324,324,0,1,0,0,14741,14741,120903,120903,89,89,0.001643239977631528
2,86,15,354.029376,related_routes,6,111,975,435,6,441,441,18,1,0,0,14741,14741,120903,120903,89,89,0.001618591377967055
2,87,16,357.026736,low_utilization,5,80,788,564,5,576,576,198,1,0,0,14741,14741,120903,120903,89,89,0.001594312507297549
2,88,17,358.512241,low_utilization,5,84,858,568,5,570,570,126,1,0,0,14741,14741,120903,120903,89,89,0.001570397819688086
2,89,18,361.005618,worst_time_per_person,5,81,1055,562,5,570,570,72,1,0,0,14741,14741,120903,120903,89,89,0.0015468418523927646
2,90,19,363.272543,low_utilization,6,103,980,546,6,570,570,108,1,0,0,14741,14741,120903,120903,89,89,0.001523639224606873
2,91,20,364.648453,related_routes,6,105,764,144,6,144,144,135,1,0,0,14741,14741,120903,120903,89,89,0.00150078463623777
2,92,21,367.919866,low_utilization,6,105,1164,987,6,1089,1089,270,1,0,0,14741,14741,120903,120903,89,89,0.0014782728666942035
2,93,22,380.771009,random_routes,6,102,913,695,6,705,705,441,1,0,0,14741,14741,120903,120903,89,89,0.0014560987736937903
2,94,23,381.056095,worst_time_per_person,5,92,1185,296,5,324,324,0,1,0,0,14741,14741,120903,120903,89,89,0.0014342572920883834
2,95,24,383.879305,low_utilization,5,87,851,441,5,441,441,126,1,0,0,14741,14741,120903,120903,89,89,0.0014127434327070576
2,96,25,394.123828,random_routes,6,108,909,568,6,576,576,315,1,0,0,14741,14741,120903,120903,89,89,0.0013915522812164517
2,97,26,394.76276,land_reassignment,6,111,975,435,6,441,441,0,1,0,0,14741,14741,120903,120903,89,89,0.0013706789969982049
2,98,27,399.772852,random_routes,6,107,1006,520,6,576,576,234,1,0,0,14741,14741,120903,120903,89,89,0.0013501188120432317
2,99,28,404.78957,related_routes,5,91,982,144,5,144,144,36,1,1,1,14740,14740,121977,121977,89,89,0.001329867029862583
2,100,29,406.780774,worst_time_per_person,5,88,1211,516,5,576,576,36,1,0,0,14740,14740,121977,121977,89,89,0.0013099190244146442
2,101,30,409.193305,low_utilization,5,82,764,433,5,435,435,90,1,0,0,14740,14740,121977,121977,89,89,0.0012902702390484245
2,102,31,409.552171,land_reassignment,5,92,788,319,5,324,324,0,1,0,0,14740,14740,121977,121977,89,89,0.0012709161854626981
2,103,32,410.083081,land_reassignment,6,111,975,435,6,441,441,0,1,0,0,14740,14740,121977,121977,89,89,0.0012518524426807576
2,104,33,412.951967,related_routes,6,110,880,225,6,225,225,144,1,0,0,14740,14740,121977,121977,89,89,0.0012330746560405463
2,105,34,418.771185,related_routes,6,112,953,324,6,324,324,60,1,1,1,14738,14738,121977,121977,89,89,0.0012145785361999382
2,106,35,420.244161,related_routes,5,89,1161,195,5,225,225,0,1,0,0,14738,14738,121977,121977,89,89,0.001196359858156939
2,107,36,426.937805,low_utilization,6,103,1074,864,6,900,900,252,1,0,0,14738,14738,121977,121977,89,89,0.001178414460284585
2,108,37,427.217304,related_routes,5,83,588,81,5,81,81,0,1,0,0,14738,14738,121977,121977,89,89,0.0011607382433803163
2,109,38,428.096866,land_reassignment,6,111,950,320,6,324,324,54,1,0,0,14738,14738,121977,121977,89,89,0.0011433271697296114
2,110,39,428.153073,related_routes,6,113,1000,324,6,324,324,54,1,1,1,14738,14738,121643,121643,89,89,0.0011261772621836673
2,111,40,434.068176,related_routes,6,108,906,441,6,441,441,342,1,0,0,14738,14738,121643,121643,89,89,0.0011092846032509122
2,112,41,438.314567,random_routes,6,109,1052,411,6,441,441,108,1,0,0,14738,14738,121643,121643,89,89,0.0010926453342021485
2,113,42,440.72785,low_utilization,6,107,1271,1144,6,1218,1218,252,1,0,0,14738,14738,121643,121643,89,89,0.0010762556541891162
2,114,43,440.895571,land_reassignment,6,111,950,320,6,324,324,0,1,0,0,14738,14738,121643,121643,89,89,0.0010601118193762794
2,115,44,443.004975,low_utilization,5,87,946,677,5,729,729,162,1,0,0,14738,14738,121643,121643,89,89,0.0010442101420856352
2,116,45,443.29154,low_utilization,5,90,967,373,5,435,435,0,1,0,0,14738,14738,121643,121643,89,89,0.0010285469899543507
2,117,46,448.32198,related_routes,6,107,1151,318,6,318,318,0,1,0,0,14745,14738,122251,121643,89,89,0.0010131187851050354
2,118,47,449.150978,low_utilization,5,86,909,324,5,324,324,0,1,0,0,14745,14738,122251,121643,89,89,0.0009979220033284597
2,119,48,452.644579,related_routes,6,108,1043,209,6,219,219,156,1,0,0,14745,14738,122251,121643,89,89,0.0009829531732785328
2,120,49,460.323473,related_routes,6,112,1057,441,6,441,441,108,1,1,0,14745,14738,121925,121643,89,89,0.0009682088756793548
2,121,50,465.206556,low_utilization,6,104,1037,872,6,882,882,327,1,0,0,14745,14738,121925,121643,89,89,0.0009536857425441644
2,122,51,469.796756,random_routes,6,109,972,409,6,435,435,189,1,0,0,14745,14738,121925,121643,89,89,0.0009393804564060019
2,123,52,471.668006,land_reassignment,6,107,1127,324,6,324,324,72,1,1,0,14743,14738,122425,121643,89,89,0.0009252897495599119
2,124,53,473.380973,low_utilization,5,80,793,324,5,324,324,18,1,1,0,14739,14738,122389,121643,89,89,0.0009114104033165132
2,125,54,477.071513,land_reassignment,6,111,969,219,6,225,225,72,1,0,0,14739,14738,122389,121643,89,89,0.0008977392472667655
2,126,55,483.818727,random_routes,6,108,961,419,6,441,441,216,1,0,0,14739,14738,122389,121643,89,89,0.000884273158557764
2,127,56,491.12769,related_routes,6,113,921,324,6,324,324,153,1,0,0,14739,14738,122389,121643,89,89,0.0008710090611793975
