left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F012,F033,0.8362264150943396,0.7152558497665851,0.940377358490566,0.9328301886792453,0.13622641509433964,34,31,66,66,0,0.9848484848484849
F012,F034,0.7218867924528302,0.6342726306609602,0.72,0.5279245283018867,0.5615094339622642,34,37,73,71,2,1.0
F012,F035,0.5569811320754716,0.0,0.630943396226415,0.5279245283018867,0.7460377358490566,34,21,59,55,4,1.0
F012,F036,0.5347169811320756,0.0,0.8071698113207547,0.8784905660377358,0.5615094339622642,34,42,78,76,2,1.0
F012,F037,0.07660377358490567,0.0,0.07622641509433958,0.18452830188679248,0.4420754716981132,34,28,63,62,1,1.0
F012,F038,0.2584905660377359,0.0,0.5218867924528302,0.42188679245283023,0.13622641509433964,34,31,66,66,0,0.9848484848484849
F012,F039,0.3173584905660377,0.0,0.7090566037735849,0.7256603773584906,0.5615094339622642,34,34,70,68,2,1.0
F012,F040,0.10679245283018868,0.0,0.11169811320754719,0.3007547169811321,0.21283018867924525,34,27,63,62,1,0.9838709677419355
F012,F041,0.17924528301886788,0.0,0.33698113207547165,0.3886792452830189,0.7460377358490566,34,21,59,55,4,1.0
F012,F042,0.07962264150943399,0.0,0.06603773584905659,0.2245283018867924,0.6722641509433962,34,26,63,60,3,1.0
F012,F043,0.1724528301886793,0.0,0.22188679245283016,0.3886792452830189,0.5615094339622642,34,30,66,64,2,1.0
F012,F044,0.14150943396226412,0.0,0.16641509433962265,0.42188679245283023,0.5615094339622642,34,34,70,68,2,1.0
F012,F045,0.21018867924528306,0.0,0.47018867924528307,0.459622641509434,0.4420754716981132,34,35,70,69,1,1.0
F012,F046,0.41660377358490563,0.0,0.7916981132075471,0.7766037735849056,0.789622641509434,34,20,59,54,5,1.0
F012,F047,0.41660377358490563,0.0,0.7539622641509434,0.7766037735849056,0.5615094339622642,34,23,59,57,2,1.0
F012,F048,0.2916981132075471,0.0,0.5920754716981131,0.459622641509434,0.4420754716981132,34,32,67,66,1,1.0
F012,F049,0.37283018867924533,0.0,0.7339622641509433,0.7766037735849056,0.6722641509433962,34,33,70,67,3,1.0
F012,F050,0.04830188679245284,0.0,0.021886792452830206,0.35056603773584905,0.21283018867924525,34,27,63,62,1,0.9838709677419355
F012,F051,0.23547169811320756,0.0,0.3652830188679246,0.459622641509434,0.6722641509433962,34,33,70,67,3,1.0
F012,F052,0.33169811320754716,0.0,0.6132075471698113,0.459622641509434,0.21283018867924525,34,27,63,62,1,0.9838709677419355
F013,F014,0.5045283018867924,0.32148366584147414,0.11056603773584905,0.0252830188679245,0.34641509433962264,31,28,59,59,0,1.0
F013,F015,0.5347169811320756,0.32148366584147414,0.16830188679245284,0.20226415094339623,0.4420754716981132,31,23,55,54,1,1.0
F013,F016,0.3905660377358491,0.242949657316875,0.1264150943396226,0.0252830188679245,0.6722641509433962,31,25,59,56,3,1.0
F013,F017,0.3935849056603774,0.32148366584147414,0.08037735849056604,0.0252830188679245,0.09433962264150947,31,27,59,59,0,0.9830508474576272
F013,F018,0.4207547169811321,0.32148366584147414,0.16415094339622638,0.09320754716981128,0.4420754716981132,31,37,69,68,1,1.0
F013,F019,0.31169811320754715,0.242949657316875,0.17132075471698116,0.3886792452830189,0.34641509433962264,31,44,75,75,0,1.0
F013,F020,0.3479245283018868,0.242949657316875,0.10528301886792457,0.0252830188679245,0.14735849056603773,31,46,78,78,0,0.9871794871794872
F013,F021,0.19056603773584901,0.0,0.1841509433962264,0.2245283018867924,0.34641509433962264,31,51,82,82,0,1.0
