accepted_moves,accepted_useful_repair_rate,accepted_useful_repairs,basin,best_aircraft_time,budget_policy,config,exact_evals_to_17218,exact_evaluated,flights,fuel,initial_aircraft_time,initial_flights,lns_runtime_seconds,ml_inference_seconds,ml_overhead_fraction,new_best_count,passenger_time,positive_candidate_rate,positive_candidates,repairs,run_id,runtime_seconds,seed,stop_reason,time_to_17218,utilization,validator_pass
7,0.2857142857142857,2,global_best,17218,wall,geometry_lr,0,1337,95,132473.9,17218,95,45.711678,0.235582,0.00515365023353551,1,254619,0.005983545250560957,8,7,20260816-q2-final-ml-ab-wall-global_best-geometry_lr-s712,46.942443,712,wall_clock_limit,0.0,0.9268819689583684,True
7,0.0,0,global_best,17218,wall,geometry_lightgbm,0,1413,95,132473.9,17218,95,45.326455,0.2836,0.006256831689131656,0,254656,0.0,0,7,20260816-q2-final-ml-ab-wall-global_best-geometry_lightgbm-s712,46.682787,712,wall_clock_limit,0.0,0.9270255505126912,True
9,0.1111111111111111,1,global_best,17218,wall,hybrid_lightgbm_safe,0,1804,95,132473.9,17218,95,50.280138,0.306558,0.006096999972434443,1,254646,0.0022172949002217295,4,9,20260816-q2-final-ml-ab-wall-global_best-hybrid_lightgbm_safe-s712,51.589673,712,wall_clock_limit,0.0,0.9269555107300947,True
7,0.2,2,alternate_95,17231,wall,classical_geometry,,2054,95,132310.9,17231,95,46.172781,0.0,0.0,1,254845,0.0038948393378773127,8,10,20260816-q2-final-ml-ab-wall-alternate_95-classical_geometry-s711,46.323002,711,wall_clock_limit,,0.9286923402454507,True
6,0.42857142857142855,3,alternate_95,17231,wall,geometry_lr,,1280,95,132310.9,17231,95,46.750917,0.32925,0.007042642607416663,2,254777,0.009375,12,7,20260816-q2-final-ml-ab-wall-alternate_95-geometry_lr-s711,48.011517,711,wall_clock_limit,,0.9286432407535136,True
5,0.14285714285714285,1,alternate_95,17231,wall,geometry_lightgbm,,1392,95,132310.9,17231,95,48.618115,0.398212,0.008190609611252925,1,254695,0.0028735632183908046,4,7,20260816-q2-final-ml-ab-wall-alternate_95-geometry_lightgbm-s711,50.099553,711,wall_clock_limit,,0.9284082646135285,True
5,0.16666666666666666,1,alternate_95,17231,wall,hybrid_lightgbm_safe,,1166,95,132310.9,17231,95,51.604101,0.263452,0.005105253165828817,0,254918,0.003430531732418525,4,6,20260816-q2-final-ml-ab-wall-alternate_95-hybrid_lightgbm_safe-s711,52.843728,711,wall_clock_limit,,0.928574267657697,True
9,0.1,1,alternate_95,17231,wall,classical_geometry,,2051,95,132310.9,17231,95,48.921067,0.0,0.0,0,254918,0.0019502681618722574,4,10,20260816-q2-final-ml-ab-wall-alternate_95-classical_geometry-s712,49.0374,712,wall_clock_limit,,0.928574267657697,True
7,0.42857142857142855,3,alternate_95,17231,wall,geometry_lr,,1342,95,132310.9,17231,95,46.033085,0.197702,0.004294780590959741,3,254781,0.00894187779433681,12,7,20260816-q2-final-ml-ab-wall-alternate_95-geometry_lr-s712,47.261277,712,wall_clock_limit,,0.9284409976081534,True
6,0.0,0,alternate_95,17231,wall,geometry_lightgbm,,1211,95,132310.9,17231,95,45.193634,0.200846,0.004444121488437951,0,254918,0.0,0,6,20260816-q2-final-ml-ab-wall-alternate_95-geometry_lightgbm-s712,46.4864,712,wall_clock_limit,,0.928574267657697,True
5,0.16666666666666666,1,alternate_95,17231,wall,hybrid_lightgbm_safe,,1180,95,132310.9,17231,95,48.903833,0.213574,0.0043672241396701976,0,254918,0.003389830508474576,4,6,20260816-q2-final-ml-ab-wall-alternate_95-hybrid_lightgbm_safe-s712,50.306649,712,wall_clock_limit,,0.928574267657697,True
6,0.14285714285714285,1,independent_ml602,17391,wall,classical_geometry,,1441,96,135463.7,17391,96,45.822134,0.0,0.0,0,255147,0.002775850104094379,4,7,20260816-q2-final-ml-ab-wall-independent_ml602-classical_geometry-s711,45.939188,711,wall_clock_limit,,0.924249817735469,True
3,0.25,1,independent_ml602,17381,wall,geometry_lr,,741,96,135365.1,17391,96,46.247084,0.254378,0.005500411658386937,1,254639,0.005398110661268556,4,4,20260816-q2-final-ml-ab-wall-independent_ml602-geometry_lr-s711,47.702297,711,wall_clock_limit,,0.9237801164815204,True
5,0.16666666666666666,1,independent_ml602,17381,wall,geometry_lightgbm,,1187,96,135365.1,17391,96,49.854295,0.309431,0.006206706964766025,1,254914,0.003369839932603201,4,6,20260816-q2-final-ml-ab-wall-independent_ml602-geometry_lightgbm-s711,51.235355,711,wall_clock_limit,,0.9243229700119823,True
5,0.3333333333333333,2,independent_ml602,17381,wall,hybrid_lightgbm_safe,,1181,96,135365.1,17391,96,52.554217,0.245928,0.004679510304567948,1,255010,0.006773920406435224,8,6,20260816-q2-final-ml-ab-wall-independent_ml602-hybrid_lightgbm_safe-s711,53.881342,711,wall_clock_limit,,0.9244575234511565,True
5,0.4,2,independent_ml602,17391,wall,classical_geometry,,1045,96,135463.7,17391,96,46.250663,0.0,0.0,0,255147,0.007655502392344498,8,5,20260816-q2-final-ml-ab-wall-independent_ml602-classical_geometry-s712,46.361162,712,wall_clock_limit,,0.924249817735469,True
6,0.3333333333333333,2,independent_ml602,17381,wall,geometry_lr,,1122,96,135365.1,17391,96,46.475314,0.265917,0.005721682698044816,1,254762,0.0071301247771836,8,6,20260816-q2-final-ml-ab-wall-independent_ml602-geometry_lr-s712,47.862839,712,wall_clock_limit,,0.9239599077148998,True
6,0.5,3,independent_ml602,17381,wall,geometry_lightgbm,,1208,96,135460.8,17391,96,51.81358,0.200659,0.0038727105905440235,2,255005,0.009933774834437087,12,6,20260816-q2-final-ml-ab-wall-independent_ml602-geometry_lightgbm-s712,53.270188,712,wall_clock_limit,,0.9243072636188506,True
5,0.4,2,independent_ml602,17381,wall,hybrid_lightgbm_safe,,982,96,135368.7,17391,96,45.171589,0.245018,0.005424161633986354,2,255146,0.008146639511201629,8,5,20260816-q2-final-ml-ab-wall-independent_ml602-hybrid_lightgbm_safe-s712,46.685976,712,wall_clock_limit,,0.9245188476701823,True
