left,right,consensus
F017,F041,0.0
F017,F042,0.0
F017,F043,0.0
F017,F044,0.0
F017,F045,0.0
F017,F046,0.0
F017,F047,0.0
F017,F048,0.0
F017,F049,0.0
F017,F050,0.0
F017,F051,0.0
F017,F052,0.0
F018,F019,0.7152558497665851
F018,F020,0.9214659914754009
F018,F021,0.0
F018,F022,0.9214659914754009
F018,F023,0.0
F018,F024,0.16018035160321933
F018,F025,0.0
F018,F026,0.9214659914754009
F018,F027,0.16018035160321933
F018,F028,0.5592700729234237
F018,F029,0.16018035160321933
F018,F030,0.8551112629680833
F018,F031,0.0
F018,F032,0.0
F018,F033,0.7152558497665851
F018,F034,0.6342726306609602
F018,F035,0.0
F018,F036,0.0
F018,F037,0.0
F018,F038,0.0
F018,F039,0.0
F018,F040,0.0
F018,F041,0.0
F018,F042,0.0
F018,F043,0.0
F018,F044,0.0
F018,F045,0.0
F018,F046,0.0
F018,F047,0.0
F018,F048,0.0
F018,F049,0.0
F018,F050,0.0
F018,F051,0.0
F018,F052,0.0
F019,F020,0.7937898582911843
F019,F021,0.21419484696603946
F019,F022,0.7937898582911843
F019,F023,0.07853400852459914
F019,F024,0.3743751985692588
F019,F025,0.21419484696603946
F019,F026,0.7937898582911843
F019,F027,0.3743751985692588
F019,F028,0.4807360643988245
F019,F029,0.3743751985692588
F019,F030,0.6409164160020439
F019,F031,0.07853400852459914
F019,F032,0.07853400852459914
F019,F033,1.0
F019,F034,0.919016780894375
F019,F035,0.07853400852459914
F019,F036,0.07853400852459914
F019,F037,0.0
F019,F038,0.0
F019,F039,0.0
F019,F040,0.0
F019,F041,0.0
F019,F042,0.0
F019,F043,0.0
F019,F044,0.0
F019,F045,0.0
F019,F046,0.0
F019,F047,0.0
F019,F048,0.0
F019,F049,0.0
F019,F050,0.0
F019,F051,0.0
F019,F052,0.0
F020,F021,0.07853400852459914
F020,F022,1.0
F020,F023,0.07853400852459914
F020,F024,0.23871436012781846
F020,F025,0.07853400852459914
F020,F026,1.0
F020,F027,0.23871436012781846
F020,F028,0.4807360643988245
F020,F029,0.23871436012781846
F020,F030,0.7765772544434841
F020,F031,0.07853400852459914
F020,F032,0.07853400852459914
F020,F033,0.7937898582911843
F020,F034,0.7128066391855593
F020,F035,0.07853400852459914
F020,F036,0.07853400852459914
F020,F037,0.0
F020,F038,0.0
F020,F039,0.0
F020,F040,0.0
F020,F041,0.0
F020,F042,0.0
F020,F043,0.0
F020,F044,0.0
F020,F045,0.0
F020,F046,0.0
F020,F047,0.0
F020,F048,0.0
F020,F049,0.0
F020,F050,0.0
F020,F051,0.0
F020,F052,0.0
F021,F022,0.07853400852459914
F021,F023,0.7937898582911843
F021,F024,0.8398196483967807
F021,F025,1.0
F021,F026,0.07853400852459914
F021,F027,0.8398196483967807
F021,F028,0.0
F021,F029,0.8398196483967807
F021,F030,0.0
F021,F031,0.7937898582911843
F021,F032,0.7937898582911843
F021,F033,0.21419484696603946
F021,F034,0.29517806607166447
F021,F035,0.7937898582911843
