iteration,ranker,candidate_rank,selected,left_index,right_index,base_airport,left_signature,right_signature,left_load,right_load,left_services,right_services,same_cluster_fraction,minimum_distance_km,airport_profile_gap_km,fuel_signature_gap,outcome,route_evaluations,technical_stop_searches,augmentation_cache_hits,lower_bound_pruned,augmentation_infeasible,saving_minutes,accepted
0,cluster_average_k4,55,False,0,59,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F028|12|P0241+P0272+P0289+P0320+P0490+P0559+P0600+P0634+P0700+P0953+P1113+P1179,4,12,F001,F028,1.0,91.0,10.666666666666666,0.09722222222222222,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,56,False,94,97,A03,A03|F045|16|P0365+P0430+P0568+P0673+P0741+P0776+P0781+P0801+P0805+P0826+P0829+P1640+P1785+P1803+P2939+P3969,A03|F046|1|P2863,16,1,F045,F046,1.0,92.0,41.0,0.2222222222222222,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,57,False,86,103,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,5,14,F041,F049,1.0,94.0,48.666666666666664,0.1111111111111111,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,58,False,0,21,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,4,12,F001,F011,1.0,101.0,10.0,0.1111111111111111,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,59,False,0,17,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F009|11|P0086+P0252+P0860+P1085+P1610+P1743+P1763+P1949+P2163+P3118+P3137,4,11,F001,F009,1.0,107.0,39.666666666666664,0.25,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,60,False,87,97,A03,A03|F041|16|P0377+P0519+P0657+P0794+P1479+P1556+P1742+P1850+P1978+P2178+P2650+P2871+P2966+P3089+P3423+P3954,A03|F046|1|P2863,16,1,F041,F046,1.0,110.0,60.0,0.25,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,61,False,86,97,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F046|1|P2863,5,1,F041,F046,1.0,110.0,60.0,0.25,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,62,False,86,99,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F047|5|P0040+P1063+P1231+P2315+P2850,5,5,F041,F047,1.0,111.0,46.666666666666664,0.1111111111111111,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,63,False,90,99,A03,A03|F043|14|P0095+P0132+P0520+P0588+P0601+P0778+P0848+P0965+P1050+P1171+P1294+P2636+P3023+P3270,A03|F047|5|P0040+P1063+P1231+P2315+P2850,14,5,F043,F047,1.0,115.0,69.66666666666667,0.1111111111111111,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,64,False,90,97,A03,A03|F043|14|P0095+P0132+P0520+P0588+P0601+P0778+P0848+P0965+P1050+P1171+P1294+P2636+P3023+P3270,A03|F046|1|P2863,14,1,F043,F046,1.0,117.0,83.0,0.25,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,65,False,91,97,A03,A03|F043|16|P1316+P1327+P1450+P1615+P1855+P1948+P2206+P2442+P2477+P2648+P2766+P3094+P3459+P3510+P3774+P3793,A03|F046|1|P2863,16,1,F043,F046,1.0,117.0,83.0,0.25,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,66,False,92,97,A03,A03|F044|16|P0074+P0259+P0386+P0396+P0442+P0558+P0566+P0582+P0704+P0728+P0768+P0838+P2843+P3238+P3260+P3334,A03|F046|1|P2863,16,1,F044,F046,1.0,137.0,98.66666666666667,0.20833333333333334,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,67,False,93,97,A03,A03|F044|18|P0822+P1103+P1382+P1760+P1960+P2036+P2364+P2667+P2783+P2835+P3008+P3155+P3209+P3325+P3591+P3656+P3762+P3897,A03|F046|1|P2863,18,1,F044,F046,1.0,137.0,98.66666666666667,0.20833333333333334,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,68,False,77,86,A03,A03|F036|8|P0401+P0709+P1087+P1650+P1817+P3698+P3755+P3770,A03|F041|5|P0227+P0326+P0368+P1137+P2262,8,5,F036,F041,1.0,150.0,71.0,0.2777777777777778,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,69,False,15,21,A01,A01|F008|3|P1310+P1334+P3410,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,3,12,F008,F011,0.0,33.0,22.0,0.19444444444444445,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,70,False,15,59,A01,A01|F008|3|P1310+P1334+P3410,A01|F028|12|P0241+P0272+P0289+P0320+P0490+P0559+P0600+P0634+P0700+P0953+P1113+P1179,3,12,F008,F028,0.0,41.0,7.333333333333333,0.013888888888888888,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,71,False,15,17,A01,A01|F008|3|P1310+P1334+P3410,A01|F009|11|P0086+P0252+P0860+P1085+P1610+P1743+P1763+P1949+P2163+P3118+P3137,3,11,F008,F009,0.0,59.0,56.333333333333336,0.3055555555555556,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,72,False,15,18,A01,A01|F008|3|P1310+P1334+P3410,A01|F009|16|P2295+P2415+P2720+P2794+P2805+P2859+P2982+P2991+P3006+P3280+P3464+P3478+P3613+P3725+P3807+P3880,3,16,F008,F009,0.0,59.0,56.333333333333336,0.3055555555555556,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,73,False,15,30,A01,A01|F008|3|P1310+P1334+P3410,A01|F015|16|P0409+P0513+P0605+P0969+P0998+P1080+P1364+P1506+P1774+P1782+P2091+P3098+P3234+P3836+P3939+P3985,3,16,F008,F015,0.0,64.0,35.0,0.18055555555555555,budget_not_selected,0,0,0,0,0,,False
0,cluster_average_k4,74,False,15,29,A01,A01|F008|3|P1310+P1334+P3410,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,3,7,F008,F015,0.0,64.0,35.0,0.18055555555555555,budget_not_selected,0,0,0,0,0,,False
