feature,importance,kind
numeric__feature_current_mean_stop_count,0.0,classifier_split
numeric__feature_current_min_residual_slack,0.0,classifier_split
numeric__missingindicator_feature_local_supported_demand,0.0,classifier_split
numeric__search_warm_start_objective,0.0,classifier_split
numeric__search_warm_start_flights,0.0,classifier_split
numeric__search_relink_flag,0.0,classifier_split
numeric__search_destroy_size,0.0,classifier_split
numeric__seen_in_previous_run,0.0,classifier_split
numeric__missingindicator_feature_ejection_coverage,0.0,classifier_split
numeric__missingindicator_feature_incumbent_sequence,0.0,classifier_split
numeric__search_cross_exchange_flag,0.0,classifier_split
categorical__geometry_rank_bin_mid,0.0,classifier_split
categorical__geometry_rank_bin_low,0.0,classifier_split
categorical__geometry_rank_bin_incumbent,0.0,classifier_split
categorical__candidate_source_INCUMBENT,0.0,classifier_split
categorical__candidate_source_GEOMETRY_TOP,0.0,classifier_split
categorical__candidate_source_GEOMETRY_MID,0.0,classifier_split
categorical__candidate_source_GEOMETRY_LOW,0.0,classifier_split
categorical__candidate_source_EXPLORATION_RANDOM,0.0,classifier_split
categorical__context_rank_bin_unavailable,0.0,classifier_split
categorical__geometry_rank_bin_top,0.0,classifier_split
categorical__context_rank_bin_mid,0.0,classifier_split
categorical__portfolio_source_geometry,0.0,classifier_split
categorical__portfolio_source_incumbent,0.0,classifier_split
categorical__search_destroy_operator_high_cost_route,0.0,classifier_split
categorical__search_destroy_operator_land_heavy_route,0.0,classifier_split
categorical__context_rank_bin_top,0.0,classifier_split
categorical__search_destroy_operator_shared_facility_flow,0.0,classifier_split
categorical__search_restart_type_independent_elite,0.0,classifier_split
categorical__search_run_purpose_ml_exploration,0.0,classifier_split
categorical__search_restart_type_lineage_resume,0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T1"",""T2"",""T3""]",0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T1"",""T2""]",0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T1"",""T3""]",0.0,classifier_split
categorical__search_targeted_trigger___MISSING__,0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T2"",""T3""]",0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T2""]",0.0,classifier_split
"categorical__feature_current_base_airports_[""A01"",""A02"",""A03""]",0.0,classifier_split
"categorical__feature_current_aircraft_types_[""T3""]",0.0,classifier_split
"categorical__feature_current_base_airports_[""A01"",""A02""]",0.0,classifier_split
"categorical__feature_current_base_airports_[""A01""]",0.0,classifier_split
"categorical__feature_current_base_airports_[""A02"",""A03""]",0.0,classifier_split
"categorical__feature_current_base_airports_[""A03""]",0.0,classifier_split
numeric__seen_in_current_solution,3561.565803527832,ranker_gain
numeric__seen_in_elite_pool,668.8574161529541,ranker_gain
numeric__is_incumbent_sequence,664.0400729179382,ranker_gain
numeric__feature_score,120.1318549644202,ranker_gain
numeric__feature_capacity_fit,83.94301652908325,ranker_gain
numeric__sequence_novelty,69.2771987915039,ranker_gain
numeric__feature_refuel_facilities,64.55795150995255,ranker_gain
numeric__feature_directed_shuttle_flow,63.08516384102404,ranker_gain
numeric__feature_detour_ratio,59.96294294577092,ranker_gain
numeric__feature_flow_complementarity,56.22620879858732,ranker_gain
numeric__feature_min_airport_distance_km,50.568360190838575,ranker_gain
numeric__feature_fixed_airport_affinity,43.86408404260874,ranker_gain
numeric__feature_current_duration_minutes,43.32013619877398,ranker_gain
numeric__feature_technical_stop_complexity_proxy,33.547237396240234,ranker_gain
numeric__feature_route_distance_km,31.580802232027054,ranker_gain
numeric__search_iteration,31.244560949504375,ranker_gain
numeric__feature_current_mean_stop_count,30.044467212748714,ranker_gain
numeric__feature_max_pairwise_distance_km,26.676294967532158,ranker_gain
numeric__feature_current_land_fraction,24.56437048688531,ranker_gain
numeric__feature_max_airport_distance_km,21.722866762662306,ranker_gain
numeric__missingindicator_feature_ejection_coverage,20.96926975250244,ranker_gain
numeric__feature_current_route_passengers,16.051789788529277,ranker_gain
numeric__feature_current_mean_utilization,14.51093989238143,ranker_gain
numeric__feature_inbound_flow,13.661713063716888,ranker_gain
numeric__feature_seat_reuse_proxy,12.804384917020798,ranker_gain
numeric__feature_land_flexible_flow,10.35594093799591,ranker_gain
numeric__feature_min_pairwise_distance_km,4.4873593002557755,ranker_gain
numeric__feature_reverse_shuttle_flow,3.297958016395569,ranker_gain
numeric__feature_outbound_flow,2.982015982270241,ranker_gain
numeric__search_best_objective,1.3723652884364128,ranker_gain
numeric__rank_score_context,1.3516000509262085,ranker_gain
numeric__feature_service_node_count,1.2901999950408936,ranker_gain
numeric__search_sa_temperature,0.20207400619983673,ranker_gain
numeric__feature_bidirectional_flow,0.0,ranker_gain
numeric__feature_current_min_residual_slack,0.0,ranker_gain
