model,split,pr_auc,roc_auc,brier,k,selected,precision,recall,novel_positive_precision,novel_positive_recall,lift,positive_group_hit_rate
logistic_regression,test,0.0366347592567577,0.8782914631351999,0.10689426665082172,25,6800,0.0375,0.7456140350877193,0.0,0.0,5.315350877192983,0.9767441860465116
logistic_regression,test,0.0366347592567577,0.8782914631351999,0.10689426665082172,50,13600,0.02323529411764706,0.9239766081871345,0.00014705882352941175,0.16666666666666666,3.2934330925352597,1.0
lightgbm_classifier,validation,0.02827116884121034,0.8799911926668977,0.12708919746664835,10,9960,0.03263052208835342,0.31676413255360625,0.0,0.0,6.341039107697849,0.89453125
lightgbm_classifier,validation,0.02827116884121034,0.8799911926668977,0.12708919746664835,25,24900,0.029236947791164657,0.7095516569200779,0.0,0.0,5.681571040497272,0.9921875
lightgbm_classifier,validation,0.02827116884121034,0.8799911926668977,0.12708919746664835,50,49800,0.018775100401606425,0.9113060428849903,0.00014056224899598393,0.13725490196078433,3.648536348121531,1.0
lightgbm_classifier,test,0.039167530938858275,0.8819864051550047,0.12815462768902144,10,2720,0.04338235294117647,0.34502923976608185,0.0,0.0,6.149131406948745,0.9534883720930233
lightgbm_classifier,test,0.039167530938858275,0.8819864051550047,0.12815462768902144,25,6800,0.03823529411764706,0.7602339181286549,0.0,0.0,5.419573443412453,0.9883720930232558
lightgbm_classifier,test,0.039167530938858275,0.8819864051550047,0.12815462768902144,50,13600,0.02323529411764706,0.9239766081871345,0.00014705882352941175,0.16666666666666666,3.2934330925352597,1.0
lightgbm_ranker,validation,0.02647393949564681,0.876097851711418,0.009333354992589792,10,9960,0.034036144578313256,0.3304093567251462,0.0,0.0,6.61419156156791,0.95703125
lightgbm_ranker,validation,0.02647393949564681,0.876097851711418,0.009333354992589792,25,24900,0.029317269076305223,0.7115009746588694,0.0,0.0,5.69717975214699,0.98046875
lightgbm_ranker,validation,0.02647393949564681,0.876097851711418,0.009333354992589792,50,49800,0.018815261044176707,0.9132553606237817,0.0002208835341365462,0.21568627450980393,3.65634070394639,0.99609375
lightgbm_ranker,test,0.04121885050137691,0.8748466452206887,0.011521601120128188,10,2720,0.04522058823529412,0.35964912280701755,0.0,0.0,6.40968782249742,0.9651162790697675
lightgbm_ranker,test,0.04121885050137691,0.8748466452206887,0.011521601120128188,25,6800,0.03764705882352941,0.7485380116959064,0.0,0.0,5.336195390436876,0.9883720930232558
lightgbm_ranker,test,0.04121885050137691,0.8748466452206887,0.011521601120128188,50,13600,0.023088235294117646,0.9181286549707602,7.352941176470588e-05,0.08333333333333333,3.2725885792913654,1.0
hybrid,validation,0.025303771587951673,0.8724083781107406,0.31195124811576586,10,9960,0.03263052208835342,0.31676413255360625,0.0,0.0,6.341039107697849,0.89453125
hybrid,validation,0.025303771587951673,0.8724083781107406,0.31195124811576586,25,24900,0.029236947791164657,0.7095516569200779,0.0,0.0,5.681571040497272,0.9921875
hybrid,validation,0.025303771587951673,0.8724083781107406,0.31195124811576586,50,49800,0.018835341365461847,0.9142300194931774,2.0080321285140562e-05,0.0196078431372549,3.6602428818588195,1.0
hybrid,test,0.03349303536107992,0.8720183748730699,0.3104126665853095,10,2720,0.04338235294117647,0.34502923976608185,0.0,0.0,6.149131406948745,0.9534883720930233
hybrid,test,0.03349303536107992,0.8720183748730699,0.3104126665853095,25,6800,0.03823529411764706,0.7602339181286549,0.0,0.0,5.419573443412453,0.9883720930232558
hybrid,test,0.03349303536107992,0.8720183748730699,0.3104126665853095,50,13600,0.023088235294117646,0.9181286549707602,0.0,0.0,3.2725885792913654,1.0
