wall_time,stage1_ub,stage2_optional,stage2_time,global_valid_lb,restricted_lp,gap_percent,elite_pool_size,route_count,column_count
519.051847,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
522.703791,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
532.074756,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
534.760201,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
538.41828,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
538.948624,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
541.061025,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
550.422072,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
556.985154,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
565.9239,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
568.451556,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
572.424225,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
574.645184,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
578.443335,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
587.954357,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
597.366068,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
606.714687,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
609.280226,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
611.220087,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
616.661793,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
621.761107,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
625.879807,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
631.2754,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
636.588084,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
641.926841,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
646.249426,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
650.904283,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
655.066368,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
660.43818,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
660.920778,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
