method,k,facility,cluster,medoid,distance_to_medoid_km
pam,10,F016,3,F018,17.0
pam,10,F017,4,F014,38.0
pam,10,F018,3,F018,0.0
pam,10,F019,0,F033,24.0
pam,10,F020,3,F018,36.0
pam,10,F021,5,F029,17.0
pam,10,F022,3,F018,31.0
pam,10,F023,6,F023,0.0
pam,10,F024,5,F029,16.0
pam,10,F025,5,F029,24.0
pam,10,F026,3,F018,14.0
pam,10,F027,5,F029,22.0
pam,10,F028,2,F008,41.0
pam,10,F029,5,F029,0.0
pam,10,F030,4,F014,14.0
pam,10,F031,6,F023,25.0
pam,10,F032,6,F023,14.0
pam,10,F033,0,F033,0.0
pam,10,F034,0,F033,31.0
pam,10,F035,6,F023,38.0
pam,10,F036,5,F029,41.0
pam,10,F037,7,F042,18.0
pam,10,F038,8,F041,44.0
pam,10,F039,9,F049,36.0
pam,10,F040,7,F042,28.0
pam,10,F041,8,F041,0.0
pam,10,F042,7,F042,0.0
pam,10,F043,8,F041,28.0
pam,10,F044,8,F041,39.0
pam,10,F045,8,F041,20.0
pam,10,F046,9,F049,17.0
pam,10,F047,9,F049,19.0
pam,10,F048,9,F049,34.0
pam,10,F049,9,F049,0.0
pam,10,F050,7,F042,40.0
pam,10,F051,8,F041,36.0
pam,10,F052,9,F049,22.0
average,2,F001,0,F015,73.0
average,2,F002,0,F015,127.0
average,2,F003,0,F015,74.0
average,2,F004,0,F015,95.0
average,2,F005,0,F015,25.0
average,2,F006,0,F015,104.0
average,2,F007,0,F015,113.0
average,2,F008,0,F015,64.0
average,2,F009,0,F015,38.0
average,2,F010,0,F015,77.0
average,2,F011,0,F015,31.0
average,2,F012,0,F015,33.0
average,2,F013,0,F015,145.0
average,2,F014,0,F015,27.0
average,2,F015,0,F015,0.0
average,2,F016,0,F015,48.0
average,2,F017,0,F015,53.0
average,2,F018,0,F015,41.0
average,2,F019,0,F015,84.0
average,2,F020,0,F015,66.0
average,2,F021,1,F052,97.0
average,2,F022,0,F015,71.0
average,2,F023,1,F052,58.0
average,2,F024,1,F052,130.0
average,2,F025,1,F052,97.0
average,2,F026,0,F015,55.0
average,2,F027,1,F052,131.0
average,2,F028,0,F015,32.0
average,2,F029,1,F052,114.0
average,2,F030,0,F015,35.0
average,2,F031,1,F052,55.0
average,2,F032,1,F052,70.0
average,2,F033,0,F015,89.0
average,2,F034,0,F015,120.0
average,2,F035,1,F052,94.0
average,2,F036,1,F052,75.0
average,2,F037,1,F052,157.0
average,2,F038,1,F052,37.0
average,2,F039,1,F052,44.0
average,2,F040,1,F052,130.0
average,2,F041,1,F052,80.0
average,2,F042,1,F052,155.0
average,2,F043,1,F052,82.0
average,2,F044,1,F052,103.0
average,2,F045,1,F052,67.0
average,2,F046,1,F052,38.0
average,2,F047,1,F052,33.0
average,2,F048,1,F052,23.0
average,2,F049,1,F052,22.0
average,2,F050,1,F052,194.0
average,2,F051,1,F052,47.0
average,2,F052,1,F052,0.0
average,3,F001,0,F015,73.0
average,3,F002,0,F015,127.0
average,3,F003,0,F015,74.0
average,3,F004,0,F015,95.0
average,3,F005,0,F015,25.0
average,3,F006,0,F015,104.0
average,3,F007,0,F015,113.0
average,3,F008,0,F015,64.0
average,3,F009,0,F015,38.0
average,3,F010,0,F015,77.0
average,3,F011,0,F015,31.0
average,3,F012,0,F015,33.0
average,3,F013,0,F015,145.0
average,3,F014,0,F015,27.0
average,3,F015,0,F015,0.0
average,3,F016,0,F015,48.0
average,3,F017,0,F015,53.0
average,3,F018,0,F015,41.0
average,3,F019,0,F015,84.0
average,3,F020,0,F015,66.0
average,3,F021,1,F047,64.0
average,3,F022,0,F015,71.0
average,3,F023,1,F047,39.0
average,3,F024,1,F047,97.0
average,3,F025,1,F047,65.0
average,3,F026,0,F015,55.0
average,3,F027,1,F047,98.0
average,3,F028,0,F015,32.0
average,3,F029,1,F047,81.0
average,3,F030,0,F015,35.0
average,3,F031,1,F047,25.0
average,3,F032,1,F047,53.0
average,3,F033,0,F015,89.0
average,3,F034,0,F015,120.0
average,3,F035,1,F047,66.0
average,3,F036,1,F047,42.0
average,3,F037,2,F042,18.0
average,3,F038,1,F047,68.0
average,3,F039,1,F047,55.0
average,3,F040,2,F042,28.0
average,3,F041,1,F047,111.0
average,3,F042,2,F042,0.0
average,3,F043,1,F047,115.0
average,3,F044,1,F047,136.0
average,3,F045,1,F047,96.0
average,3,F046,1,F047,15.0
average,3,F047,1,F047,0.0
average,3,F048,1,F047,51.0
average,3,F049,1,F047,19.0
average,3,F050,2,F042,40.0
average,3,F051,1,F047,80.0
average,3,F052,1,F047,33.0
average,4,F001,0,F018,34.0
average,4,F002,1,F006,43.0
average,4,F003,1,F006,45.0
average,4,F004,1,F006,40.0
average,4,F005,0,F018,17.0
average,4,F006,1,F006,0.0
average,4,F007,1,F006,14.0
average,4,F008,1,F006,41.0
average,4,F009,0,F018,73.0
average,4,F010,1,F006,27.0
average,4,F011,0,F018,71.0
average,4,F012,0,F018,19.0
average,4,F013,1,F006,46.0
average,4,F014,0,F018,52.0
average,4,F015,0,F018,41.0
average,4,F016,0,F018,17.0
average,4,F017,0,F018,43.0
average,4,F018,0,F018,0.0
average,4,F019,0,F018,44.0
average,4,F020,0,F018,36.0
average,4,F021,2,F047,64.0
average,4,F022,0,F018,31.0
average,4,F023,2,F047,39.0
average,4,F024,2,F047,97.0
average,4,F025,2,F047,65.0
average,4,F026,0,F018,14.0
average,4,F027,2,F047,98.0
average,4,F028,0,F018,65.0
average,4,F029,2,F047,81.0
average,4,F030,0,F018,46.0
average,4,F031,2,F047,25.0
