stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
2,86,26,661.961449,worst_time_per_person,4,1,0,0,15504,15504,121263,121104,96,96,0.0013706789969982049
2,87,27,679.164455,related_routes,3,1,0,0,15504,15504,121263,121104,96,96,0.0013501188120432317
2,88,28,699.50059,low_utilization,4,1,1,0,15504,15504,121104,121104,96,96,0.001329867029862583
2,89,29,716.780012,random_routes,4,1,0,0,15504,15504,121104,121104,96,96,0.0013099190244146442
2,90,30,726.703841,related_routes,3,1,0,0,15504,15504,121104,121104,96,96,0.0012902702390484245
2,91,31,730.807343,related_routes,4,1,1,1,15483,15483,120554,120554,96,96,0.0012709161854626981
2,92,32,731.479113,low_utilization,3,1,0,0,15483,15483,120554,120554,96,96,0.0012518524426807576
2,93,33,744.179287,worst_time_per_person,4,1,0,0,15485,15483,120795,120554,96,96,0.0012330746560405463
2,94,34,756.033873,low_utilization,4,1,1,1,15478,15478,120695,120695,96,96,0.0012145785361999382
2,95,35,768.744154,related_routes,4,1,1,1,15477,15477,120630,120630,96,96,0.001196359858156939
2,96,36,768.993997,land_reassignment,3,1,0,0,15477,15477,120630,120630,96,96,0.001178414460284585
2,97,37,775.528894,related_routes,4,1,0,0,15477,15477,120630,120630,96,96,0.0011607382433803163
2,98,38,788.839448,low_utilization,4,1,1,1,15468,15468,120687,120687,96,96,0.0011433271697296114
2,99,39,788.907769,low_utilization,3,1,0,0,15468,15468,120687,120687,96,96,0.0011261772621836673
2,100,40,797.973626,related_routes,4,1,0,0,15468,15468,120687,120687,96,96,0.0011092846032509122
2,101,41,798.570372,related_routes,3,1,0,0,15468,15468,120687,120687,96,96,0.0010926453342021485
2,102,42,809.380006,random_routes,3,1,0,0,15468,15468,120687,120687,96,96,0.0010762556541891162
2,103,43,815.447173,worst_time_per_person,4,1,1,1,15432,15432,121278,121278,95,95,0.0010601118193762794
2,104,44,847.352419,low_utilization,4,1,1,1,15418,15418,121138,121138,95,95,0.0010442101420856352
2,105,45,871.976545,low_utilization,4,1,0,0,15418,15418,121138,121138,95,95,0.0010285469899543507
2,106,46,877.937856,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0010131187851050354
2,107,47,883.850642,related_routes,4,1,0,0,15418,15418,121138,121138,95,95,0.0009979220033284597
2,108,48,893.449997,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009829531732785328
2,109,49,894.2876,related_routes,4,1,0,0,15418,15418,121138,121138,95,95,0.0009682088756793548
2,110,50,898.683529,land_reassignment,4,1,0,0,15418,15418,121138,121138,95,95,0.0009536857425441644
2,111,51,904.779222,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009393804564060019
2,112,52,904.812101,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0009252897495599119
2,113,53,917.719907,worst_time_per_person,4,0,0,0,15418,15418,121138,121138,95,95,0.0009114104033165132
2,114,54,921.278322,low_utilization,4,1,0,0,15418,15418,121138,121138,95,95,0.0008977392472667655
2,115,55,946.19051,random_routes,3,1,0,0,15418,15418,121138,121138,95,95,0.000884273158557764
2,116,56,953.320693,low_utilization,3,1,0,0,15418,15418,121138,121138,95,95,0.0008710090611793975
2,117,57,964.525966,worst_time_per_person,3,1,0,0,15418,15418,121138,121138,95,95,0.0008579439252617066
2,118,58,964.569051,related_routes,3,1,0,0,15418,15418,121138,121138,95,95,0.0008450747663827809
2,119,59,969.633619,worst_time_per_person,4,0,0,0,15418,15418,121138,121138,95,95,0.0008323986448870392
2,120,60,985.894896,worst_time_per_person,4,1,0,0,15418,15418,121138,121138,95,95,0.0008199126652137336
